,title,OP,desc,date,url
45,"Santander and UBS chairs should testify in €112m Orcel suit, court rules",0.9682665,Ana Botín and Axel Weber called to give evidence over lender’s decision to cancel hiring of UBS banker,2020-09-14T17:52:22.3739126Z,https://www.ft.com/content/cb0f4ac1-eced-4371-a298-42c0cc1424af
56,Facebook launches a climate change information center and commits to eliminating 'scope 3' emissions by 2030,0.89338267,"Even as Facebook, the world’s largest social media platform, admits that climate change “is real” and that “the science is unambiguous and the need to act grows more urgent by the day” the platform appears unwilling to take steps to really stand up to the cli…",2020-09-14T17:46:52Z,https://techcrunch.com/2020/09/14/facebook-launches-a-climate-change-information-center-and-commits-to-eliminating-scope-3-emissions-by-2030/
47,CNN’s Jake Tapper pestered GOP candidate Sean Parnell for statement dismissing scandalous DM: source,0.9842316,"CNN’s Jake Tapper has been pestering Republican congressional candidate Sean Parnell to issue a joint statement, as the “State of the Union” anchor tries to clean up the mess he created by attempting to talk him out of running for a Western Pennsylvania House…",2020-09-14T17:52:16.8127953Z,https://www.foxnews.com/media/cnn-jake-tapper-sean-parnell-dm-scandal
18,Kai Havertz and Timo Werner make Chelsea debuts as Frank Lampard benches Cesar Azpilicueta and Antonio,0.99905926,,2020-09-14T18:17:36Z,https://talksport.com/football/759524/kai-havertz-timo-werner-chelsea-debuts-frank-lampard-cesar-azpilicueta-antonio-rudiger-brighton/
7,A database for every repl,0.9073401,Repl.it is already the best place to build your apps. But there was a missing piece: where do you store your data? We’re introducing…,2020-09-14T18:37:17.827307Z,https://blog.repl.it/database
14,NFL reminds teams to follow sideline rules on face coverings,0.9873425,The NFL on Monday reminded team personnel on the sidelines about the COVID-19 requirements.,2020-09-14T18:23:06+00:00,https://www.cbsnews.com/news/nfl-reminds-teams-to-follow-sideline-rules-on-face-coverings/
95,The pandemic has necessitated us to reconsider the 42% devolution assigned in the 2020-21 report: N.K. Singh,0.9967289,"Unlike in the past, we may not have the luxury of assuming constant rates of growth throughout the period 2021-22 to 2025-26, says Chairman of the FFC N.K. Singh",2020-09-14T17:06:02Z,https://www.thehindu.com/business/Economy/the-pandemic-has-necessitated-us-to-reconsider-the-42-devolution-assigned-in-the-2020-21-report/article32603885.ece
77,Charlotte Mulhall takes court action over move to Limerick Prison,0.9907541,Convicted murderer says transfer after alleged incident with prison officer caused great stress,2020-09-14T17:24:02Z,https://www.irishtimes.com/							/news/crime-and-law/courts/high-court/charlotte-mulhall-takes-court-action-over-move-to-limerick-prison-1.4354715	
87,Centre opposes plea seeking recognition of same-sex marriages,0.9951898,"2018 judgment of Supreme Court “merely decriminalises homosexuality or lesbianism”, it tells Delhi High Court",2020-09-14T17:15:58Z,https://www.thehindu.com/news/national/centre-opposes-plea-seeking-recognition-of-same-sex-marriages/article32603987.ece
63,"50 Shot, 15 Fatally, During Last Week in Mayor Young's Baltimore",0.95729756,"Fifty people were shot, 15 fatally, during the last week in Mayor Bernard Young's (D) Baltimore, Maryland.",2020-09-14T17:38:02Z,http://www.breitbart.com/politics/2020/09/14/50-shot-15-fatally-during-last-week-in-mayor-youngs-baltimore/
91,Astronomers see possible hints of life in Venus's clouds,0.96518993,"Chemical signature of phosphine, a gas that on Earth is only associated with life, has been spotted in Venusian clouds.",2020-09-14T17:12:00Z,http://www.aljazeera.com/ajimpact/astronomers-hints-life-venus-clouds-200914153426895.html
